source_dataset,source_row_id,distance_km,distance_basis,prep_time_min,prep_basis,order_hour,is_weekend,weather,traffic,vehicle,delivery_time_min,split
zomato,0x3231,4.470286489434607,straight_line,5.0,order_to_pickup_proxy,20.0,0,storm,jam,motorcycle,18,test
zomato,0x8bc0,13.68204452608078,straight_line,10.0,order_to_pickup_proxy,23.0,1,cloudy,low,scooter,38,train
zomato,0x2288,13.973182653917394,straight_line,15.0,order_to_pickup_proxy,21.0,0,wind,jam,motorcycle,47,train
zomato,0x3c5e,16.85361872985359,straight_line,10.0,order_to_pickup_proxy,23.0,1,wind,low,electric scooter,12,test
zomato,0x3e60,4.674172124263269,straight_line,15.0,order_to_pickup_proxy,22.0,0,storm,low,motorcycle,26,train
zomato,0xbff,7.60161677107109,straight_line,5.0,order_to_pickup_proxy,22.0,1,storm,low,motorcycle,22,train
zomato,0xd936,7.720324413179964,straight_line,10.0,order_to_pickup_proxy,23.0,0,storm,low,motorcycle,21,test
zomato,0xd681,6.1756362610169315,straight_line,5.0,order_to_pickup_proxy,13.0,0,cloudy,high,scooter,25,train
zomato,0x2876,,straight_line,10.0,order_to_pickup_proxy,21.0,0,storm,jam,scooter,35,test
zomato,0x30c8,19.914686965545187,straight_line,10.0,order_to_pickup_proxy,22.0,1,cloudy,low,scooter,30,train
zomato,0xb843,10.724517748046026,straight_line,15.0,order_to_pickup_proxy,18.0,0,clear,medium,motorcycle,22,train
zomato,0xb3a0,6.127835452844326,straight_line,10.0,order_to_pickup_proxy,14.0,1,wind,high,scooter,10,train
zomato,0x6531,1.5203573134022046,straight_line,,order_to_pickup_proxy,,0,storm,low,scooter,19,train
zomato,0x4bda,3.0734537599377685,straight_line,10.0,order_to_pickup_proxy,9.0,0,clear,low,scooter,11,train
zomato,0x9d26,3.1051314775458967,straight_line,15.0,order_to_pickup_proxy,8.0,0,storm,low,scooter,11,train
zomato,0x9b18,10.86742683448048,straight_line,,order_to_pickup_proxy,,0,fog,low,motorcycle,28,train
zomato,0x5d99,10.865464603780389,straight_line,5.0,order_to_pickup_proxy,17.0,0,cloudy,medium,motorcycle,33,test
zomato,0x4f0,12.236723616598548,straight_line,,order_to_pickup_proxy,,0,cloudy,medium,scooter,33,train
zomato,0xb796,13.682516298592299,straight_line,5.0,order_to_pickup_proxy,19.0,0,storm,jam,motorcycle,52,train
zomato,0x85b4,16.826241648658115,straight_line,15.0,order_to_pickup_proxy,19.0,0,storm,jam,scooter,22,train
zomato,0xc644,3.0272369309754272,straight_line,,order_to_pickup_proxy,10.0,1,fog,low,scooter,16,train
zomato,0x6999,9.175193844437826,straight_line,5.0,order_to_pickup_proxy,21.0,0,clear,jam,electric scooter,11,train
zomato,0x63b6,9.315069177421892,straight_line,,order_to_pickup_proxy,,1,wind,medium,scooter,25,train
zomato,0xa30b,6.209021101535612,straight_line,10.0,order_to_pickup_proxy,16.0,0,cloudy,medium,motorcycle,26,train
zomato,0x3556,1.5203447277401048,straight_line,10.0,order_to_pickup_proxy,11.0,1,clear,high,scooter,18,test
zomato,0x5554,6.037225392443855,straight_line,5.0,order_to_pickup_proxy,15.0,1,fog,medium,motorcycle,16,train
zomato,0x25fd,17.078665498349437,straight_line,10.0,order_to_pickup_proxy,22.0,0,storm,low,scooter,23,train
zomato,0xc1ff,,straight_line,15.0,order_to_pickup_proxy,22.0,1,cloudy,low,motorcycle,15,train
zomato,0x7ac8,12.464329297636581,straight_line,10.0,order_to_pickup_proxy,20.0,0,storm,jam,motorcycle,36,train
zomato,0x3da1,9.121425981981247,straight_line,15.0,order_to_pickup_proxy,22.0,1,cloudy,low,motorcycle,16,train
zomato,0x272d,14.02323208308448,straight_line,,order_to_pickup_proxy,17.0,0,clear,medium,motorcycle,19,test
zomato,0xddc5,13.392612276663236,straight_line,,order_to_pickup_proxy,22.0,0,clear,low,motorcycle,27,train
zomato,0x8e6c,,straight_line,15.0,order_to_pickup_proxy,20.0,0,fog,jam,scooter,49,test
zomato,0xb002,1.4899271643865588,straight_line,15.0,order_to_pickup_proxy,9.0,1,wind,low,scooter,20,train
zomato,0x395b,,straight_line,5.0,order_to_pickup_proxy,20.0,1,cloudy,jam,motorcycle,30,train
zomato,0x8aa2,11.916582838288104,straight_line,10.0,order_to_pickup_proxy,22.0,0,storm,low,scooter,18,test
zomato,0xb55a,4.663566689152146,straight_line,,order_to_pickup_proxy,21.0,0,clear,jam,scooter,22,train
zomato,0x73cc,10.641157729337541,straight_line,15.0,order_to_pickup_proxy,22.0,1,cloudy,low,scooter,34,test
zomato,0xbe80,16.818368923732613,straight_line,5.0,order_to_pickup_proxy,23.0,0,storm,low,motorcycle,24,train
zomato,0x1609,6.128551257919138,straight_line,15.0,order_to_pickup_proxy,15.0,0,fog,medium,scooter,17,test
zomato,0xd255,2.996250036665907,straight_line,10.0,order_to_pickup_proxy,10.0,0,storm,low,electric scooter,14,train
zomato,0xde72,7.342175722857793,straight_line,,order_to_pickup_proxy,20.0,0,storm,jam,motorcycle,30,train
zomato,0x98aa,,straight_line,10.0,order_to_pickup_proxy,10.0,0,storm,low,scooter,15,train
zomato,0x273a,,straight_line,10.0,order_to_pickup_proxy,15.0,0,fog,medium,scooter,16,train
zomato,0xa258,13.972123977178622,straight_line,5.0,order_to_pickup_proxy,20.0,0,cloudy,jam,scooter,36,train
zomato,0x8b53,6.081440797008078,straight_line,5.0,order_to_pickup_proxy,12.0,0,clear,high,scooter,18,train
zomato,0xbbde,6.080891507842322,straight_line,15.0,order_to_pickup_proxy,15.0,0,fog,medium,scooter,17,train
zomato,0x5ded,,straight_line,5.0,order_to_pickup_proxy,22.0,0,storm,low,motorcycle,15,train
zomato,0x1a70,,straight_line,10.0,order_to_pickup_proxy,10.0,0,fog,low,motorcycle,17,train
zomato,0xa9f,6.210589610314177,straight_line,,order_to_pickup_proxy,,0,unknown,unknown,scooter,19,train
zomato,0x4b7f,9.220373067021216,straight_line,,order_to_pickup_proxy,23.0,1,fog,low,motorcycle,10,train
zomato,0xc606,,straight_line,15.0,order_to_pickup_proxy,21.0,0,fog,jam,motorcycle,27,train
zomato,0xb962,13.96960642768458,straight_line,15.0,order_to_pickup_proxy,20.0,1,storm,jam,motorcycle,37,test
zomato,0x633c,13.973206773137713,straight_line,,order_to_pickup_proxy,20.0,0,fog,jam,scooter,44,train
zomato,0x2dc6,6.058853851669116,straight_line,10.0,order_to_pickup_proxy,12.0,1,wind,high,electric scooter,28,test
zomato,0x903a,17.07799287216204,straight_line,,order_to_pickup_proxy,,0,cloudy,jam,scooter,42,train
zomato,0xc444,,straight_line,15.0,order_to_pickup_proxy,23.0,0,wind,low,motorcycle,25,test
zomato,0x1fb7,17.072871906399556,straight_line,5.0,order_to_pickup_proxy,18.0,1,cloudy,medium,scooter,39,train
zomato,0x34d7,16.818368923732613,straight_line,5.0,order_to_pickup_proxy,18.0,1,storm,medium,motorcycle,20,train
zomato,0x156b,2.979502850576494,straight_line,5.0,order_to_pickup_proxy,11.0,0,storm,high,motorcycle,31,train
zomato,0x56ad,9.22086597503784,straight_line,10.0,order_to_pickup_proxy,20.0,0,storm,jam,motorcycle,13,test
zomato,0x837c,7.661331134220826,straight_line,15.0,order_to_pickup_proxy,21.0,0,storm,jam,motorcycle,28,train
zomato,0xcbc4,6.1755160934059985,straight_line,5.0,order_to_pickup_proxy,12.0,0,wind,high,scooter,19,test
zomato,0xc19e,12.209856560906529,straight_line,15.0,order_to_pickup_proxy,23.0,0,fog,low,motorcycle,42,train
zomato,0x1d60,1.5526813140972442,straight_line,5.0,order_to_pickup_proxy,10.0,0,fog,low,motorcycle,23,train
zomato,0x95fb,16.902806732498032,straight_line,15.0,order_to_pickup_proxy,21.0,0,storm,jam,motorcycle,39,train
zomato,0x8195,1.5093577696337532,straight_line,10.0,order_to_pickup_proxy,10.0,0,storm,low,motorcycle,25,train
zomato,0xc042,10.416963824321584,straight_line,,order_to_pickup_proxy,,0,storm,low,scooter,15,train
zomato,0x6d19,3.0251186390184004,straight_line,15.0,order_to_pickup_proxy,8.0,0,cloudy,low,scooter,15,train
zomato,0x35e6,13.407092693002484,straight_line,5.0,order_to_pickup_proxy,17.0,0,clear,medium,electric scooter,15,train
zomato,0xb437,16.721976048741215,straight_line,15.0,order_to_pickup_proxy,20.0,0,storm,jam,motorcycle,15,train
zomato,0x97e3,7.772343594464245,straight_line,5.0,order_to_pickup_proxy,22.0,0,clear,low,motorcycle,18,train
zomato,0xa3e0,13.773737657079298,straight_line,10.0,order_to_pickup_proxy,23.0,0,storm,low,electric scooter,29,train
zomato,0x4161,7.790158927084966,straight_line,5.0,order_to_pickup_proxy,23.0,0,fog,low,motorcycle,20,train
zomato,0x1236,6.217834398578936,straight_line,15.0,order_to_pickup_proxy,12.0,1,cloudy,high,scooter,39,test
zomato,0x2558,16.852834881460105,straight_line,15.0,order_to_pickup_proxy,23.0,0,wind,low,motorcycle,19,train
zomato,0x3185,4.610035602260694,straight_line,,order_to_pickup_proxy,23.0,1,cloudy,low,scooter,19,train
zomato,0x3c57,19.879870677373706,straight_line,,order_to_pickup_proxy,22.0,0,wind,low,motorcycle,17,test
zomato,0x4863,1.5580833985948437,straight_line,15.0,order_to_pickup_proxy,10.0,0,storm,low,motorcycle,15,train
zomato,0x6757,3.025332706173566,straight_line,,order_to_pickup_proxy,8.0,0,storm,low,motorcycle,19,train
zomato,0x22ad,13.97194896017493,straight_line,15.0,order_to_pickup_proxy,21.0,0,storm,jam,motorcycle,29,train
zomato,0x9f99,16.830905551931956,straight_line,5.0,order_to_pickup_proxy,22.0,0,cloudy,low,scooter,22,test
zomato,0x6781,20.207797933358158,straight_line,10.0,order_to_pickup_proxy,20.0,0,fog,jam,scooter,42,train
zomato,0x1b8d,3.040641621538495,straight_line,15.0,order_to_pickup_proxy,10.0,0,storm,low,scooter,12,train
zomato,0x1aea,20.253785359470783,straight_line,10.0,order_to_pickup_proxy,20.0,0,cloudy,jam,motorcycle,38,test
zomato,0x1e42,16.72129600980331,straight_line,15.0,order_to_pickup_proxy,23.0,0,clear,low,motorcycle,23,train
zomato,0xddc8,2.9845507897866907,straight_line,15.0,order_to_pickup_proxy,10.0,0,cloudy,low,scooter,15,test
zomato,0x24ac,12.16145053143676,straight_line,5.0,order_to_pickup_proxy,23.0,0,clear,low,motorcycle,24,test
zomato,0x3f01,16.822155609317257,straight_line,,order_to_pickup_proxy,19.0,0,wind,jam,motorcycle,37,train
zomato,0x628c,7.762556904358444,straight_line,10.0,order_to_pickup_proxy,22.0,0,storm,low,scooter,24,train
zomato,0x6c38,9.055855161965923,straight_line,5.0,order_to_pickup_proxy,23.0,0,clear,low,electric scooter,13,train
zomato,0x4beb,1.5545816630911855,straight_line,15.0,order_to_pickup_proxy,9.0,0,cloudy,low,motorcycle,16,train
zomato,0x8339,12.074047498027575,straight_line,10.0,order_to_pickup_proxy,18.0,0,cloudy,medium,motorcycle,42,train
zomato,0x3ec5,13.580373876280879,straight_line,10.0,order_to_pickup_proxy,22.0,1,storm,low,motorcycle,17,train
zomato,0xadb4,4.469620875558295,straight_line,15.0,order_to_pickup_proxy,20.0,1,cloudy,jam,motorcycle,25,test
zomato,0x6e2,16.659838319169715,straight_line,,order_to_pickup_proxy,,1,unknown,unknown,electric scooter,25,train
zomato,0x2bc0,16.634870118211836,straight_line,5.0,order_to_pickup_proxy,18.0,0,fog,medium,scooter,39,test
zomato,0x99e7,6.232139486668102,straight_line,10.0,order_to_pickup_proxy,14.0,0,clear,high,scooter,18,train
zomato,0x39ef,6.209021101535612,straight_line,,order_to_pickup_proxy,16.0,0,storm,medium,motorcycle,28,train
zomato,0xe264,7.460830127736633,straight_line,15.0,order_to_pickup_proxy,22.0,0,storm,low,scooter,18,test
zomato,0xbd03,20.253785359470783,straight_line,,order_to_pickup_proxy,,0,wind,low,scooter,18,train
zomato,0x9a29,16.600975700594585,straight_line,10.0,order_to_pickup_proxy,21.0,0,fog,jam,scooter,49,train
zomato,0xd0e5,4.540321372891478,straight_line,10.0,order_to_pickup_proxy,23.0,0,clear,low,motorcycle,15,train
zomato,0xa480,12.421212735966003,straight_line,5.0,order_to_pickup_proxy,23.0,0,clear,low,motorcycle,21,test
zomato,0xb46c,6.1187118466897275,straight_line,15.0,order_to_pickup_proxy,14.0,0,clear,high,scooter,23,train
zomato,0x7150,1.520431947999248,straight_line,10.0,order_to_pickup_proxy,10.0,1,fog,low,scooter,11,test
zomato,0x1e58,9.087972744661085,straight_line,15.0,order_to_pickup_proxy,21.0,0,cloudy,jam,motorcycle,25,test
zomato,0x4460,3.0644871057616707,straight_line,5.0,order_to_pickup_proxy,8.0,0,fog,low,motorcycle,18,train
zomato,0x977d,3.025144329113595,straight_line,,order_to_pickup_proxy,,0,cloudy,low,motorcycle,14,test
zomato,0x1602,13.973206773137713,straight_line,,order_to_pickup_proxy,17.0,1,wind,medium,motorcycle,36,train
zomato,0x894e,7.763102784727143,straight_line,5.0,order_to_pickup_proxy,23.0,0,fog,low,motorcycle,18,train
zomato,0x5a01,,straight_line,15.0,order_to_pickup_proxy,16.0,0,fog,medium,scooter,17,train
zomato,0x655,1.5368503798521727,straight_line,10.0,order_to_pickup_proxy,8.0,1,storm,low,motorcycle,28,test
zomato,0x20f6,13.97317756157655,straight_line,15.0,order_to_pickup_proxy,20.0,0,fog,jam,motorcycle,44,train
zomato,0x3db1,9.348403522662325,straight_line,15.0,order_to_pickup_proxy,23.0,1,wind,low,motorcycle,20,train
zomato,0x1ec7,4.596576884051942,straight_line,,order_to_pickup_proxy,,0,storm,low,scooter,19,train
zomato,0x8ed2,10.602467987619507,straight_line,10.0,order_to_pickup_proxy,19.0,0,fog,jam,motorcycle,35,test
zomato,0x64cc,17.076258901183188,straight_line,10.0,order_to_pickup_proxy,21.0,0,storm,jam,motorcycle,50,train
zomato,0x2ed0,9.22083460710881,straight_line,5.0,order_to_pickup_proxy,21.0,0,storm,jam,scooter,34,train
zomato,0x4008,12.161605446010208,straight_line,15.0,order_to_pickup_proxy,19.0,1,clear,jam,electric scooter,17,train
zomato,0x7553,6.080882967594328,straight_line,,order_to_pickup_proxy,14.0,0,storm,high,scooter,23,test
zomato,0x35d8,4.67414369897644,straight_line,10.0,order_to_pickup_proxy,18.0,0,fog,medium,motorcycle,27,train
zomato,0x9832,,straight_line,10.0,order_to_pickup_proxy,12.0,0,cloudy,high,motorcycle,26,train
zomato,0x4c88,10.709003371535417,straight_line,10.0,order_to_pickup_proxy,23.0,0,cloudy,low,scooter,35,train
zomato,0x9693,,straight_line,5.0,order_to_pickup_proxy,12.0,1,wind,high,motorcycle,41,train
zomato,0x81a5,9.31488473286169,straight_line,10.0,order_to_pickup_proxy,23.0,0,storm,low,motorcycle,23,train
zomato,0xae56,17.137482577838597,straight_line,,order_to_pickup_proxy,17.0,0,storm,medium,motorcycle,30,train
zomato,0x8d18,,straight_line,10.0,order_to_pickup_proxy,10.0,1,wind,low,scooter,19,train
zomato,0x9cba,,straight_line,15.0,order_to_pickup_proxy,9.0,0,wind,low,scooter,27,train
zomato,0x9b79,6.21800234869445,straight_line,15.0,order_to_pickup_proxy,12.0,0,cloudy,high,motorcycle,28,train
zomato,0x596a,12.463883024166657,straight_line,10.0,order_to_pickup_proxy,17.0,1,storm,medium,motorcycle,24,train
zomato,0x78aa,20.20658151050797,straight_line,15.0,order_to_pickup_proxy,19.0,0,cloudy,jam,motorcycle,36,test
zomato,0xd7ec,9.081116432461174,straight_line,5.0,order_to_pickup_proxy,23.0,1,storm,low,motorcycle,28,test
zomato,0x55b1,17.138077427627866,straight_line,5.0,order_to_pickup_proxy,18.0,0,fog,medium,motorcycle,31,test
zomato,0x87e4,13.631343698142908,straight_line,5.0,order_to_pickup_proxy,20.0,0,clear,jam,motorcycle,44,train
zomato,0x82c3,12.074063090452917,straight_line,15.0,order_to_pickup_proxy,22.0,0,wind,low,scooter,15,test
zomato,0x5397,10.723264172167632,straight_line,5.0,order_to_pickup_proxy,17.0,0,wind,medium,motorcycle,33,test
zomato,0x876b,7.600994631258685,straight_line,15.0,order_to_pickup_proxy,19.0,0,fog,jam,motorcycle,30,train
zomato,0x3a5a,7.562982485200135,straight_line,10.0,order_to_pickup_proxy,18.0,0,storm,medium,scooter,22,test
zomato,0x51e4,,straight_line,,order_to_pickup_proxy,23.0,0,fog,low,motorcycle,43,test
zomato,0x5631,13.829314445199353,straight_line,10.0,order_to_pickup_proxy,17.0,0,fog,medium,motorcycle,48,train
zomato,0x1dac,13.969116967730173,straight_line,,order_to_pickup_proxy,23.0,0,storm,low,electric scooter,19,train
zomato,0xde01,10.92326745824626,straight_line,5.0,order_to_pickup_proxy,18.0,0,wind,medium,motorcycle,21,train
zomato,0x8771,12.117036432265502,straight_line,10.0,order_to_pickup_proxy,21.0,0,wind,jam,motorcycle,44,train
zomato,0x3645,1.5525704156536744,straight_line,15.0,order_to_pickup_proxy,8.0,0,wind,low,scooter,26,train
zomato,0x1ff1,4.663566689152146,straight_line,5.0,order_to_pickup_proxy,22.0,0,wind,low,scooter,26,train
zomato,0x4a3c,1.5294972211332267,straight_line,5.0,order_to_pickup_proxy,11.0,1,wind,high,motorcycle,31,train
zomato,0x6e0d,,straight_line,15.0,order_to_pickup_proxy,23.0,0,storm,low,scooter,19,train
zomato,0x6cc6,11.916757259074618,straight_line,5.0,order_to_pickup_proxy,19.0,0,clear,jam,scooter,18,test
zomato,0xc141,10.486117701549256,straight_line,,order_to_pickup_proxy,18.0,0,fog,medium,motorcycle,38,train
zomato,0x690f,13.583078662317007,straight_line,10.0,order_to_pickup_proxy,18.0,0,cloudy,medium,motorcycle,32,train
zomato,0xb4ba,7.6831914051315,straight_line,5.0,order_to_pickup_proxy,22.0,0,storm,low,scooter,17,train
zomato,0x63a9,9.193093962702912,straight_line,,order_to_pickup_proxy,,0,fog,medium,scooter,11,train
zomato,0x88dd,6.2178836475581045,straight_line,10.0,order_to_pickup_proxy,13.0,0,wind,high,motorcycle,31,train
zomato,0x1b58,10.427235657896496,straight_line,,order_to_pickup_proxy,,1,storm,medium,motorcycle,43,test
zomato,0x87a8,9.326872529115304,straight_line,10.0,order_to_pickup_proxy,17.0,1,wind,medium,motorcycle,25,train
zomato,0x3f8d,9.179538450826048,straight_line,15.0,order_to_pickup_proxy,19.0,0,cloudy,jam,motorcycle,22,train
zomato,0x290c,10.880651848535559,straight_line,5.0,order_to_pickup_proxy,21.0,0,fog,jam,motorcycle,43,test
zomato,0x7ece,10.565262855251525,straight_line,10.0,order_to_pickup_proxy,19.0,0,fog,jam,motorcycle,42,train
zomato,0x1365,12.100062421152574,straight_line,10.0,order_to_pickup_proxy,19.0,1,storm,jam,motorcycle,42,train
zomato,0x33a4,4.657159718107683,straight_line,10.0,order_to_pickup_proxy,21.0,0,fog,jam,motorcycle,34,train
zomato,0x8f3c,2.9812178551917965,straight_line,15.0,order_to_pickup_proxy,9.0,0,storm,low,motorcycle,17,train
zomato,0x2fe1,4.56126563284071,straight_line,5.0,order_to_pickup_proxy,20.0,0,storm,jam,scooter,25,test
zomato,0x4b5b,13.989916877275611,straight_line,10.0,order_to_pickup_proxy,21.0,0,storm,jam,motorcycle,54,train
zomato,0x7405,10.64228895373868,straight_line,,order_to_pickup_proxy,,0,wind,low,motorcycle,21,train
zomato,0x6245,6.147404652636645,straight_line,,order_to_pickup_proxy,,0,cloudy,high,motorcycle,34,test
zomato,0xd02b,13.428477357470895,straight_line,5.0,order_to_pickup_proxy,19.0,1,fog,jam,motorcycle,36,train
zomato,0x1f0e,9.32728515796102,straight_line,10.0,order_to_pickup_proxy,17.0,0,clear,medium,motorcycle,17,train
zomato,0x7085,1.489792976782627,straight_line,,order_to_pickup_proxy,,0,clear,low,motorcycle,16,train
zomato,0x57fa,12.418394742110447,straight_line,,order_to_pickup_proxy,,0,clear,jam,electric scooter,27,train
zomato,0x57fc,6.217860689144307,straight_line,5.0,order_to_pickup_proxy,12.0,0,fog,high,motorcycle,26,test
zomato,0x7a1f,13.787803344501583,straight_line,15.0,order_to_pickup_proxy,21.0,0,fog,jam,motorcycle,46,train
zomato,0xceac,9.080187058763224,straight_line,10.0,order_to_pickup_proxy,19.0,0,clear,jam,motorcycle,29,train
zomato,0xa0a5,9.31544163550089,straight_line,5.0,order_to_pickup_proxy,19.0,0,storm,jam,motorcycle,23,train
zomato,0x892d,12.161417162421785,straight_line,15.0,order_to_pickup_proxy,22.0,1,storm,low,scooter,11,train
zomato,0x6118,16.636875038860897,straight_line,15.0,order_to_pickup_proxy,17.0,0,storm,medium,motorcycle,28,train
zomato,0x46fd,9.19295116708344,straight_line,5.0,order_to_pickup_proxy,19.0,0,cloudy,jam,motorcycle,25,test
zomato,0x5134,3.0182264849996012,straight_line,15.0,order_to_pickup_proxy,10.0,0,storm,low,motorcycle,11,train
zomato,0xd418,4.395420246829376,straight_line,10.0,order_to_pickup_proxy,18.0,0,wind,medium,scooter,26,train
zomato,0x256c,3.109059104393369,straight_line,15.0,order_to_pickup_proxy,10.0,0,storm,low,motorcycle,23,train
zomato,0x6055,11.916582838288104,straight_line,15.0,order_to_pickup_proxy,17.0,0,fog,medium,motorcycle,39,train
zomato,0x7bfb,3.116248509790061,straight_line,,order_to_pickup_proxy,8.0,1,fog,low,motorcycle,11,train
zomato,0x7220,12.116950608888414,straight_line,15.0,order_to_pickup_proxy,19.0,0,storm,jam,electric scooter,32,train
zomato,0x1568,10.868263117988388,straight_line,15.0,order_to_pickup_proxy,17.0,1,fog,medium,motorcycle,43,train
zomato,0x41ea,6.218153086065015,straight_line,10.0,order_to_pickup_proxy,15.0,1,fog,medium,scooter,13,train
zomato,0x1c60,1.554424975889475,straight_line,10.0,order_to_pickup_proxy,9.0,0,wind,low,electric scooter,25,train
zomato,0x7944,9.313017158714828,straight_line,5.0,order_to_pickup_proxy,18.0,1,wind,medium,motorcycle,27,train
zomato,0x77ee,6.147106622705506,straight_line,15.0,order_to_pickup_proxy,15.0,0,wind,medium,scooter,29,train
zomato,0x2192,10.867300462045835,straight_line,15.0,order_to_pickup_proxy,18.0,0,storm,medium,motorcycle,33,train
zomato,0x48c7,6.209259882041872,straight_line,,order_to_pickup_proxy,16.0,0,fog,medium,motorcycle,19,train
zomato,0x78bf,20.18085916835158,straight_line,5.0,order_to_pickup_proxy,18.0,0,clear,medium,motorcycle,33,train
zomato,0x7a5a,,straight_line,5.0,order_to_pickup_proxy,19.0,0,fog,jam,motorcycle,28,train
zomato,0x4321,11.919755989352295,straight_line,10.0,order_to_pickup_proxy,18.0,0,wind,medium,electric scooter,15,train
zomato,0xe00d,4.494291162003504,straight_line,15.0,order_to_pickup_proxy,20.0,0,storm,jam,scooter,29,train
zomato,0x1e86,20.85172635753384,straight_line,,order_to_pickup_proxy,22.0,0,storm,low,scooter,18,test
zomato,0xcff0,1.5605734793807475,straight_line,,order_to_pickup_proxy,10.0,1,storm,low,motorcycle,14,train
zomato,0x1e2d,6.210589610314177,straight_line,,order_to_pickup_proxy,,1,wind,medium,motorcycle,30,train
zomato,0xd072,6.17528357530834,straight_line,15.0,order_to_pickup_proxy,14.0,1,clear,high,motorcycle,28,train
zomato,0x9a57,,straight_line,5.0,order_to_pickup_proxy,20.0,0,fog,jam,motorcycle,39,train
zomato,0x427b,13.830084721845328,straight_line,,order_to_pickup_proxy,,1,cloudy,medium,motorcycle,30,train
zomato,0x52e2,19.37374583495492,straight_line,5.0,order_to_pickup_proxy,18.0,1,storm,medium,motorcycle,36,test
zomato,0x9395,20.857115324129595,straight_line,15.0,order_to_pickup_proxy,23.0,0,fog,low,motorcycle,37,train
zomato,0xb5d2,20.851557402660557,straight_line,5.0,order_to_pickup_proxy,19.0,0,cloudy,jam,motorcycle,43,test
zomato,0x6c4d,16.659963190057415,straight_line,10.0,order_to_pickup_proxy,23.0,1,clear,low,scooter,29,test
zomato,0xd1c8,,straight_line,,order_to_pickup_proxy,,0,storm,medium,scooter,25,test
zomato,0x98ca,7.76260023979039,straight_line,15.0,order_to_pickup_proxy,18.0,0,fog,medium,electric scooter,15,train
zomato,0x1b5b,,straight_line,,order_to_pickup_proxy,,0,storm,jam,scooter,24,test
zomato,0x644b,13.76685500858734,straight_line,5.0,order_to_pickup_proxy,21.0,1,wind,jam,motorcycle,39,train
zomato,0x7a2d,12.293677673573285,straight_line,10.0,order_to_pickup_proxy,23.0,0,wind,low,motorcycle,20,test
zomato,0xe13f,2.9846372692856606,straight_line,,order_to_pickup_proxy,,0,fog,low,motorcycle,15,train
zomato,0xc278,16.78827586251448,straight_line,,order_to_pickup_proxy,22.0,0,storm,low,motorcycle,16,test
zomato,0x5912,1.5320227740641719,straight_line,,order_to_pickup_proxy,,1,clear,low,scooter,19,train
zomato,0xab33,12.421407858787804,straight_line,15.0,order_to_pickup_proxy,23.0,0,fog,low,scooter,20,test
zomato,0xdd96,10.444776155165918,straight_line,,order_to_pickup_proxy,,0,clear,jam,scooter,25,train
zomato,0x7646,12.42075005031367,straight_line,10.0,order_to_pickup_proxy,19.0,1,cloudy,jam,motorcycle,43,train
zomato,0x5ef5,19.659373527443684,straight_line,10.0,order_to_pickup_proxy,22.0,0,wind,low,motorcycle,15,test
zomato,0x7ef7,12.46418980459368,straight_line,15.0,order_to_pickup_proxy,20.0,0,clear,jam,motorcycle,29,train
zomato,0x1136,6.1462436583934315,straight_line,15.0,order_to_pickup_proxy,12.0,1,storm,high,motorcycle,14,train
zomato,0xd032,8.92908688893574,straight_line,,order_to_pickup_proxy,18.0,0,clear,medium,motorcycle,11,test
zomato,0x199d,7.79036212453358,straight_line,5.0,order_to_pickup_proxy,22.0,0,storm,low,motorcycle,19,train
